13:36:36.634 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9d1bdb9d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:36:38.169 [main] INFO  c.a.o.u.a.UaaAdminApplication - [logStartupProfileInfo,646] - No active profile set, falling back to default profiles: default
13:36:55.036 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,244] - Multiple Spring Data modules found, entering strict repository configuration mode!
13:36:55.101 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,126] - Bootstrapping Spring Data repositories in DEFAULT mode.
13:36:55.543 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,182] - Finished Spring Data repository scanning in 167ms. Found 0 repository interfaces.
13:37:00.936 [main] INFO  o.s.c.c.s.GenericScope - [setSerializationId,295] - BeanFactory id=5e9ebb9d-818b-3b2b-9814-557e407cdd72
13:37:01.284 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - [registerErrorChannel,193] - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
13:37:01.428 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - [registerTaskScheduler,280] - No bean named 'taskScheduler' has been explicitly defined. Therefore, a default ThreadPoolTaskScheduler will be created.
13:37:01.647 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - [registerHeaderChannelRegistry,431] - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
13:37:08.817 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8101d8a0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:09.918 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'integrationDisposableAutoCreatedBeans' of type [org.springframework.integration.config.annotation.Disposables] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:10.503 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [postProcessAfterInitialization,330] - Bean 'org.springframework.integration.config.IntegrationManagementConfiguration' of type [org.springframework.integration.config.IntegrationManagementConfiguration$$EnhancerBySpringCGLIB$$ebf393cf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
